id,rating,genre,director,writer,theater_date,runtime,rating_10_point,fresh
1,R,Action and Adventure|Classics|Drama,William Friedkin,Ernest Tidyman,1971-10-09,104,6.2,1.0
3,R,Drama|Science Fiction and Fantasy,David Cronenberg,David Cronenberg|Don DeLillo,2012-08-17,108,6.2,1.0
5,R,Drama|Musical and Performing Arts,Allison Anders,Allison Anders,1996-09-13,116,6.8,1.0
6,R,Drama|Mystery and Suspense,Barry Levinson,Paul Attanasio|Michael Crichton,1994-12-09,128,6.0,1.0
7,NR,Drama|Romance,Rodney Bennett,Giles Cooper,,200,6.2,1.0
8,PG,Drama|Kids and Family,Jay Russell,Gail Gilchriest,2000-03-03,95,6.6,1.0
10,PG-13,Comedy,Jake Kasdan,Mike White,2002-01-11,82,6.0,0.0
13,R,Drama,Ray Lawrence,Raymond Carver|Beatrix Christian,2006-04-27,123,6.7,1.0
14,R,Drama,Taylor Hackford,Mark Jacobson,2010-06-30,117,5.4,0.0
15,PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Frank Marshall,John Patrick Shanley,1995-06-09,108,4.9,0.0
17,unknown,unknown,unknown,unknown,,90,6.7,1.0
18,NR,Documentary,unknown,Robert Zullo,,90,6.2,1.0
19,NR,Documentary|Special Interest,unknown,unknown,2002-08-23,90,6.3,0.0
20,PG-13,Classics|Comedy|Drama,William Friedkin,Sidney Michaels|Arnold Schulman|Norman Lear,1968-12-22,97,6.0,1.0
21,R,Comedy,Peter Baldwin,Rodney Dangerfield|Harry Basil,1997-01-31,106,2.9,0.0
22,R,Comedy|Drama|Mystery and Suspense,George Hickenlooper,Norman Snider,2010-12-17,108,6.2,1.0
23,R,Drama,unknown,unknown,2013-12-20,129,7.4,1.0
24,PG,Action and Adventure|Comedy|Drama,Rick Rosenthal,Sheldon Lettich|Michael Nankin|Alan Jay Glueckman,1987-11-06,98,4.1,0.0
25,PG-13,Action and Adventure|Drama|Science Fiction and Fantasy,Carl Erik Rinsch,Chris Morgan|Hossein Amini,2013-12-25,127,4.6,0.0
26,R,Art House and International|Comedy|Drama|Musical and Performing Arts,Jim Jarmusch,Jim Jarmusch,2004-05-14,96,6.4,1.0
27,NR,Musical and Performing Arts,unknown,unknown,,90,6.2,1.0
28,G,Classics|Comedy|Musical and Performing Arts|Romance,unknown,Allan Weiss|Anthony Lawrence,1966-06-15,90,5.0,0.0
29,PG,Action and Adventure|Drama|Science Fiction and Fantasy,Martyn Burke,unknown,1981-04-01,101,6.2,1.0
33,R,Action and Adventure|Drama|Mystery and Suspense,Keith Gordon,unknown,1996-11-01,114,6.3,1.0
34,PG-13,Action and Adventure|Mystery and Suspense,John Woo,William Goldman|John Logan|David Marconi|Michael Tolkin|Robert Towne|Rick Berman,2000-12-31,123,6.2,1.0
35,R,Drama,Michael Polish,Michael Polish|Mark Polish,1999-07-30,110,7.1,1.0
38,R,Art House and International|Classics|Horror|Mystery and Suspense,Roy Ward Baker,Anthony Hinds|John Elder,1970-12-23,96,5.4,0.0
39,R,Horror,David Arquette,David Arquette|Joe Harris,2007-04-20,97,6.2,1.0
40,R,Drama,John Sayles,John Sayles,2003-09-19,95,6.4,1.0
41,R,Drama,Ken Loach,Paul Laverty,2003-05-16,106,7.3,1.0
42,G,Action and Adventure|Classics|Drama|Mystery and Suspense,unknown,Frederick Hugh Herbert,,65,6.2,1.0
43,NR,Classics|Comedy|Musical and Performing Arts,William Wellman,Nunnally Johnson,,75,6.8,1.0
44,R,Comedy,Pauly Shore,Pauly Shore|Kirk Fox,2003-03-11,82,5.7,1.0
45,PG,Comedy|Kids and Family,Steve Boyum,Jim Herzfeld|Dale Pollock,,92,3.2,0.0
46,R,Comedy|Musical and Performing Arts,Peter Cattaneo,Simon Beaufoy|Simon Beaufor,1997-08-13,91,7.3,1.0
48,NR,Action and Adventure|Drama|Western,Edward Dmytryk,Ranald MacDougall,,73,6.2,1.0
49,R,Action and Adventure|Comedy|Mystery and Suspense,Andy Sidaris,Andy Sidaris,,100,3.8,0.0
50,R,Action and Adventure|Drama,Ivan Nagy,Don Petersen|George Wislocki,,99,6.2,1.0
51,NR,Mystery and Suspense,Terence Young,Jane-Howard Carrington|Robert Carrington,1967-10-26,108,7.8,1.0
52,PG,Comedy|Drama|Romance,Jon Turteltaub,unknown,1995-04-21,103,6.5,1.0
53,PG,Drama|Romance,unknown,unknown,,112,6.2,1.0
54,NR,Comedy|Drama,Paolo Sorrentino,Paolo Sorrentino|Umberto Contarello,2013-11-15,142,7.2,1.0
55,NR,Action and Adventure|Science Fiction and Fantasy,Henning Schellerup,unknown,,99,6.2,1.0
56,R,Drama,Allen Hughes|Albert Hughes,Michael Henry Brown|Albert Hughes|Allen Hughes,1995-10-06,119,6.2,0.0
57,R,Comedy,unknown,unknown,2012-11-21,122,7.5,1.0
58,PG,Comedy|Romance,Woody Allen,Woody Allen,1984-01-27,86,7.7,1.0
59,NR,Art House and International|Drama,Yimou Zhang,unknown,,91,7.3,1.0
60,R,Horror,Bill Froehlich,unknown,1987-01-01,95,2.9,0.0
61,R,Action and Adventure|Drama|Horror|Mystery and Suspense,James Wong,James Wong|Glen Morgan,2006-02-10,93,5.9,0.0
63,R,Action and Adventure|Drama|Mystery and Suspense,unknown,David Aaron Cohen|Kevin Jarre|Vincent Patrick|Robin Squibb|Karen Wookey|Gary Capo,1997-03-26,111,5.3,0.0
64,PG-13,Comedy,Pat Proft,Pat Proft,1998-08-21,86,4.0,0.0
65,PG,Comedy|Kids and Family|Romance,Kevin Lima,unknown,2007-11-21,108,7.1,1.0
66,R,Mystery and Suspense,Niels Arden Oplev,unknown,2013-03-08,118,6.2,1.0
67,R,Horror,Matt Bettinelli-Olpin|Tyler Gillett,Lindsay Devlin,2014-01-17,89,4.9,0.0
68,NR,Classics|Drama,Anatole Litvak,John Wexley,1940-09-21,106,6.3,1.0
69,R,Comedy,Ira Miller,unknown,,74,6.2,1.0
70,PG,Action and Adventure,Steven Spielberg,Lawrence Kasdan,1981-06-12,115,8.5,1.0
71,PG,Comedy,Alan Alda,Alan Alda|Gore Vidal,1986-05-14,107,5.7,1.0
72,R,Action and Adventure|Classics|Drama,Otto Preminger,Wendell Mayes,1965-04-06,165,5.7,0.0
74,R,Comedy|Drama,Terry Jones,David Leland,,104,6.7,1.0
75,R,Action and Adventure|Mystery and Suspense,Patrick Lussier,unknown,2011-02-25,107,6.2,1.0
77,PG-13,Comedy|Drama,Tom Hanks,Tom Hanks|Nia Vardalos,2011-07-01,99,5.4,0.0
79,R,Action and Adventure|Drama|Mystery and Suspense,James Gray,James Gray,1995-05-19,98,6.0,1.0
80,NR,Action and Adventure|Art House and International|Drama,Werner Herzog,Werner Herzog,1987-12-03,110,6.9,1.0
82,R,Comedy|Mystery and Suspense|Science Fiction and Fantasy|Romance,Richard Kelly,Richard Kelly,2001-01-19,113,7.1,1.0
83,G,Comedy|Drama|Kids and Family|Romance,Roy Rowland,Richard Flournoy,,89,6.2,1.0
84,NR,Drama,unknown,unknown,,186,6.2,1.0
85,NR,Drama,Ted Tetzlaff,Martin Rackin|Frank Davis,,92,6.2,1.0
86,NR,Drama|Mystery and Suspense,William Beaudine,unknown,,67,6.2,1.0
87,PG,Art House and International|Drama|Musical and Performing Arts,Bruce Beresford,Jan Sardi,2010-08-20,117,6.2,1.0
88,R,Comedy|Romance,unknown,unknown,1998-07-24,92,6.6,1.0
89,NR,Comedy|Musical and Performing Arts,unknown,unknown,,123,6.2,1.0
90,NR,Drama|Musical and Performing Arts|Romance,Herbert Wilcox,Ken Englund,,96,6.2,1.0
92,NR,Art House and International|Classics|Horror,John Gilling,Anthony Hinds|John Elder|Peter Bryan,1966-01-01,90,5.7,1.0
93,R,Classics|Comedy|Drama|Romance,Ernst Lubitsch,Charles Brackett|Billy Wilder|Walter Reisch|Melchior Lengyel,1939-11-03,110,7.3,1.0
94,R,Art House and International|Drama|Mystery and Suspense|Television,Cheryl Dunye,Catherine Crouch|Cheryl Dunye,2001-06-23,90,6.2,1.0
95,R,Drama|Sports and Fitness,Ben Younger,Ben Younger,2016-11-18,116,6.3,1.0
96,R,Comedy|Drama,Richard Linklater,Eric Bogosian,,118,6.2,1.0
98,NR,Comedy|Drama,Alan Hale,Beulah Marie Dix,,104,6.2,1.0
99,PG-13,Comedy|Romance,unknown,unknown,2002-12-20,102,5.7,0.0
